"reptile_ntaxa.x","reptile_mpd.obs","reptile_mpd.rand.mean","reptile_mpd.rand.sd","reptile_mpd.obs.rank","reptile_mpd.obs.z","reptile_mpd.obs.p","reptile_runs.x","reptile_NRI","grid_id","reptile_ntaxa.y","reptile_mntd.obs","reptile_mntd.rand.mean","reptile_mntd.rand.sd","reptile_mntd.obs.rank","reptile_mntd.obs.z","reptile_mntd.obs.p","reptile_runs.y","reptile_NTI","reptile_richness","reptile_PD_obs","reptile_pd_rand_mean","reptile_pd_rand_sd","reptile_pd_obs_rank","reptile_zscore","reptile_pd_obs_p","reptile_reps"
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10000,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10001,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10002,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10003,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10004,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10005,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
3,263.299477333333,317.954494369703,79.7455362713315,119,-0.685367728300274,0.119,999,0.685367728300274,10006,3,150.072566666667,280.358897060394,97.2625178514913,107,-1.33953277451299,0.107,999,1.33953277451299,3,424.415233,517.623658718,7032.36536347854,97,-1.11148718474924,0.0969030969030969,1000
3,263.299477333333,317.954494369703,79.7455362713315,119,-0.685367728300274,0.119,999,0.685367728300274,10007,3,150.072566666667,280.358897060394,97.2625178514913,107,-1.33953277451299,0.107,999,1.33953277451299,3,424.415233,517.623658718,7032.36536347854,97,-1.11148718474924,0.0969030969030969,1000
4,233.087558,318.552514495996,63.1551727413114,62,-1.3532534673932,0.062,999,1.3532534673932,10008,4,141.566991,250.587178832833,79.3799497100684,78,-1.37339703830783,0.078,999,1.37339703830783,4,482.440365,644.293393855,11151.7839587471,52,-1.53267000220143,0.051948051948052,1000
5,270.179937,320.462779295996,53.022156872145,138,-0.948336417495152,0.138,999,0.948336417495152,10009,5,107.4262584,230.6178228,66.5882394801114,29,-1.85004987910508,0.029,999,1.85004987910508,5,569.287794,760.2059793,13943.7638037354,58,-1.61680367965907,0.0579420579420579,1000
6,248.461905466667,320.635658969703,47.7123808593384,65,-1.51268396594613,0.065,999,1.51268396594613,10010,6,102.524063,216.597370914915,56.5023256638934,24,-2.01891349735735,0.024,999,2.01891349735735,6,608.294337,869.067813514,15940.6085873129,25,-2.06543231631471,0.024975024975025,1000
6,248.461905466667,320.635658969703,47.7123808593384,65,-1.51268396594613,0.065,999,1.51268396594613,10011,6,102.524063,216.597370914915,56.5023256638934,24,-2.01891349735735,0.024,999,2.01891349735735,6,608.294337,869.067813514,15940.6085873129,25,-2.06543231631471,0.024975024975025,1000
6,248.461905466667,320.635658969703,47.7123808593384,65,-1.51268396594613,0.065,999,1.51268396594613,10012,6,102.524063,216.597370914915,56.5023256638934,24,-2.01891349735735,0.024,999,2.01891349735735,6,608.294337,869.067813514,15940.6085873129,25,-2.06543231631471,0.024975024975025,1000
6,248.461905466667,320.635658969703,47.7123808593384,65,-1.51268396594613,0.065,999,1.51268396594613,10013,6,102.524063,216.597370914915,56.5023256638934,24,-2.01891349735735,0.024,999,2.01891349735735,6,608.294337,869.067813514,15940.6085873129,25,-2.06543231631471,0.024975024975025,1000
9,275.7754915,321.758905312034,35.2675355727291,116,-1.30384539393763,0.116,999,1.30384539393763,10014,9,109.575159555556,188.902673114225,38.9468162848997,22,-2.03681638515409,0.022,999,2.03681638515409,9,851.861319,1166.4250873745,22973.999043535,21,-2.07534546125709,0.020979020979021,1000
10,263.576007911111,321.764901657591,32.9508008393829,66,-1.76593261056442,0.066,999,1.76593261056442,10015,10,106.2581418,181.742315675676,35.6195604576532,15,-2.11917757843801,0.015,999,2.11917757843801,10,890.06381,1257.5082852735,24691.5802000679,7,-2.33839180105764,0.00699300699300699,1000
11,255.2795144,321.719163074838,31.1161869958012,40,-2.13521176883928,0.04,999,2.13521176883928,10016,11,102.316877636364,175.154811134589,32.8446150079616,17,-2.21765222337267,0.017,999,2.21765222337267,11,934.802435,1346.604681166,25957.9344583296,3,-2.5559576011793,0.002997002997003,1000
12,243.194700030303,321.717520067765,30.154921435749,28,-2.60398025591843,0.028,999,2.60398025591843,10017,12,95.3854135,170.879289173674,31.1284104349212,8,-2.42524030680928,0.008,999,2.42524030680928,12,948.798676,1431.754004586,27923.828064982,1,-2.89014401789549,0.000999000999000999,1000
12,243.194700030303,321.717520067765,30.154921435749,28,-2.60398025591843,0.028,999,2.60398025591843,10018,12,95.3854135,170.879289173674,31.1284104349212,8,-2.42524030680928,0.008,999,2.42524030680928,12,948.798676,1431.754004586,27923.828064982,1,-2.89014401789549,0.000999000999000999,1000
12,243.194700030303,321.717520067765,30.154921435749,28,-2.60398025591843,0.028,999,2.60398025591843,10019,12,95.3854135,170.879289173674,31.1284104349212,8,-2.42524030680928,0.008,999,2.42524030680928,12,948.798676,1431.754004586,27923.828064982,1,-2.89014401789549,0.000999000999000999,1000
12,243.194700030303,321.717520067765,30.154921435749,28,-2.60398025591843,0.028,999,2.60398025591843,10020,12,95.3854135,170.879289173674,31.1284104349212,8,-2.42524030680928,0.008,999,2.42524030680928,12,948.798676,1431.754004586,27923.828064982,1,-2.89014401789549,0.000999000999000999,1000
3,308.915878,317.563069161161,80.6049808252581,454,-0.10727862065878,0.454,999,0.10727862065878,10099,3,241.305368,282.459165742409,95.2474580790781,452,-0.432072399331031,0.452,999,0.432072399331031,3,492.839834,519.068739184,6940.32327970437,452,-0.314840296700705,0.451548451548452,1000
3,308.915878,317.563069161161,80.6049808252581,454,-0.10727862065878,0.454,999,0.10727862065878,10100,3,241.305368,282.459165742409,95.2474580790781,452,-0.432072399331031,0.452,999,0.432072399331031,3,492.839834,519.068739184,6940.32327970437,452,-0.314840296700705,0.451548451548452,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10101,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10102,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10103,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10104,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10105,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10106,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
